@RELATION histogram
@ATTRIBUTE o1	REAL
@ATTRIBUTE o2	REAL
@ATTRIBUTE o 	{1,2,3,4,5,6}
@DATA
20,0.222222,2
20,0.333333,2
20,0.222222,2
20,0.111111,2
20,0.111111,2
20,0,2
21,0.222222,2
20,0.111111,2
20,0.111111,2
20,0.222222,2
20,0,2
20,0.111111,2
20,0,2
20,0.111111,2
20,0.222222,2
20,0.111111,2
20,0.333333,2
20,0.222222,2
19,0.333333,2
19,0,2
19,0.111111,2
19,0.111111,2
19,0.222222,2
19,0.333333,2
19,0.222222,2
19,0.111111,2
20,0.222222,2
20,0.111111,2
20,0.222222,2
20,0.222222,2
20,0.111111,2
20,0,2
21,0.222222,2
21,0.222222,2
21,0.111111,2
21,0.444444,2
21,0.666667,2
21,0.444444,2
22,0.111111,2
22,0.111111,2
22,0.111111,2
22,0.111111,2
22,0.222222,2
22,0.111111,2
23,0,2
23,0,2
23,0,2
23,0.222222,2
23,0.111111,2
24,0.111111,2
24,0.444444,2
24,0.222222,2
24,0.111111,2
23,0,2
23,0.111111,2
23,0.111111,2
23,0,2
23,0.111111,2
23,0,2
22,0.111111,2
22,0.111111,2
22,0.333333,2
21,0.333333,2
20,0.222222,2
20,0.111111,2
19,0.111111,2
19,0,2
18,0,2
18,0.111111,2
17,0.222222,2
17,0.111111,2
16,0.111111,2
16,0.444444,2
16,0.444444,2
21,0.111111,2
20,0.111111,2
20,0.111111,2
21,0.111111,2
20,0.111111,2
21,0.111111,2
21,0.222222,2
21,0,2
20,0,2
20,0,2
20,0,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
19,0.222222,2
19,0.444444,2
19,0.444444,2
19,0.111111,2
19,0,2
19,0.222222,2
19,0.222222,2
19,0.111111,2
20,0.333333,2
20,0.222222,2
20,0,2
21,0,2
21,0,2
21,0.111111,2
21,0.111111,2
21,0,2
22,0.111111,2
21,0.444444,2
22,0.333333,2
22,0.333333,2
22,0.444444,2
22,0.111111,2
22,0.111111,2
22,0.111111,2
22,0.111111,2
23,0,2
23,0.111111,2
23,0,2
23,0.222222,2
23,0,2
23,0,2
24,0,2
24,0,2
24,0,2
24,0,2
24,0,2
24,0.111111,2
24,0,2
24,0,2
24,0.111111,2
23,0.111111,2
23,0.111111,2
23,0.111111,2
22,0,2
22,0.111111,2
21,0.333333,2
21,0.111111,2
20,0.111111,2
20,0.222222,2
19,0.111111,2
19,0.111111,2
18,0,2
17,0.333333,2
17,0.222222,2
17,0,2
17,0.444444,2
17,0.666667,2
21,0.333333,2
20,0.333333,2
21,0,2
21,0.333333,2
21,0,2
21,0,2
21,0.111111,2
20,0.222222,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.222222,2
20,0.333333,2
20,0,2
20,0,2
20,0,2
19,0,2
19,0.111111,2
19,0,2
19,0,2
19,0.111111,2
19,0.111111,2
19,0.555556,2
19,0.222222,2
20,0.444444,2
20,0.111111,2
21,0.111111,2
21,0.222222,2
21,0.444444,2
22,0.111111,2
22,0,2
22,0,2
22,0.111111,2
22,0.111111,2
23,0.111111,2
23,0.111111,2
23,0.222222,2
23,0.222222,2
23,0.222222,2
23,0.111111,2
23,0,2
23,0.111111,2
23,0.111111,2
23,0.333333,2
23,0.333333,2
23,0.111111,2
24,0,2
24,0.111111,2
24,0.222222,2
24,0.222222,2
24,0.222222,2
24,0.222222,2
24,0.222222,2
24,0,2
24,0.111111,2
24,0,2
24,0.111111,2
23,0,2
23,0.111111,2
23,0.111111,2
22,0,2
22,0.222222,2
21,0.111111,2
21,0.222222,2
21,0.222222,2
20,0.111111,2
20,0.111111,2
19,0.111111,2
18,0.222222,2
18,0.111111,2
18,0.111111,2
17,0.111111,2
17,0.444444,2
20,0.111111,2
20,0.333333,2
21,0.444444,2
21,0.333333,2
20,0.444444,2
20,0.111111,2
20,0.222222,2
20,0.333333,2
20,0.111111,2
20,0.222222,2
20,0.222222,2
20,0.222222,2
20,0.111111,2
20,0.222222,2
20,0.222222,2
20,0.333333,2
20,0.222222,2
20,0.444444,2
20,0.222222,2
19,0,2
19,0.222222,2
19,0.111111,2
19,0,2
19,0.222222,2
19,0,2
20,0,2
20,0,2
21,0.111111,2
21,0.333333,2
21,0.666667,2
22,0.222222,2
22,0.333333,2
22,0.111111,2
23,0.222222,2
23,0,2
23,0.111111,2
23,0.111111,2
23,0.111111,2
23,0.111111,2
23,0.222222,2
23,0.111111,2
23,0.111111,2
23,0.222222,2
23,0.111111,2
23,0.222222,2
23,0.222222,2
24,0.111111,2
24,0.111111,2
24,0.111111,2
25,0.111111,2
25,0.222222,2
25,0.222222,2
25,0.222222,2
24,0.444444,2
24,0.111111,2
24,0.222222,2
24,0,2
24,0.111111,2
24,0,2
23,0,2
23,0,2
23,0.222222,2
23,0.333333,2
22,0.111111,2
22,0.111111,2
22,0.222222,2
21,0,2
21,0.111111,2
20,0,2
19,0.222222,2
19,0,2
18,0.333333,2
18,0.333333,2
18,0.333333,2
20,0,2
20,0.222222,2
20,0.111111,2
20,0.222222,2
20,0.111111,2
20,0.222222,2
21,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.222222,2
20,0.222222,2
20,0,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.222222,2
20,0.333333,2
20,0.333333,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0,2
20,0.222222,2
20,0.222222,2
20,0.222222,2
20,0.555556,2
20,0.111111,2
21,0.111111,2
21,0.111111,2
21,0.444444,2
22,0.222222,2
22,0.222222,2
22,0.222222,2
23,0,2
23,0.222222,2
23,0.222222,2
23,0.111111,2
23,0.222222,2
23,0.111111,2
23,0.111111,2
23,0.222222,2
23,0.111111,2
23,0.111111,2
23,0.111111,2
23,0.111111,2
23,0,2
24,0,2
24,0.111111,2
24,0.111111,2
25,0.111111,2
25,0.222222,2
25,0.444444,2
25,0.444444,2
25,0.222222,2
25,0,2
25,0.222222,2
24,0.111111,2
24,0.111111,2
24,0,2
24,0.333333,2
24,0.333333,2
23,0.222222,2
23,0,2
23,0.111111,2
22,0.555556,2
22,0.333333,2
22,0,2
21,0.111111,2
21,0,2
20,0.333333,2
20,0.111111,2
19,0,2
18,0.666667,2
18,0.222222,2
21,0.666667,6
21,0.111111,6
20,0.111111,6
20,0.111111,2
20,0.222222,2
20,0.222222,2
20,0.222222,2
20,0.111111,2
21,0.111111,2
21,0.111111,2
21,0.111111,2
20,0.222222,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0,2
20,0,2
20,0.111111,2
20,0.222222,2
20,0,2
20,0,2
20,0,2
20,0.111111,2
20,0.111111,2
20,0,2
20,0.111111,2
20,0.222222,2
20,0.222222,2
20,0.444444,2
21,0.111111,2
21,0.222222,2
21,0,2
21,0.222222,2
22,0.111111,2
22,0.222222,2
23,0.333333,2
23,0.111111,2
23,0.222222,2
23,0.333333,2
23,0.222222,2
23,0.111111,2
24,0.333333,2
23,0.333333,2
23,0.222222,2
23,0,2
23,0,2
23,0.111111,2
23,0.333333,2
24,0.222222,2
24,0.444444,2
24,0.222222,2
25,0.111111,2
25,0.222222,2
25,0,2
26,0.222222,2
25,0.111111,2
25,0.222222,2
25,0.444444,2
25,0.111111,2
25,0.111111,2
24,0.111111,2
24,0.111111,2
24,0,2
24,0.111111,2
24,0.222222,2
23,0.333333,2
23,0.111111,2
23,0.111111,2
23,0,2
22,0,2
22,0,2
22,0,2
21,0.111111,2
20,0.111111,2
20,0.111111,2
19,0.333333,2
19,0,2
21,0.222222,6
21,0.666667,6
21,0.222222,6
20,0.222222,6
20,0.222222,6
19,0.111111,6
20,0.444444,2
20,0.444444,2
20,0.333333,2
20,0.222222,2
20,0.222222,2
21,0.111111,2
21,0.111111,2
21,0.111111,2
21,0,2
20,0,2
20,0.111111,2
20,0.111111,2
20,0,2
20,0.111111,2
20,0.111111,2
20,0,2
20,0.444444,2
20,0.222222,2
20,0.111111,2
20,0,2
20,0,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
20,0.111111,2
21,0,2
21,0.111111,2
21,0,2
22,0.111111,2
22,0.222222,2
22,0.333333,2
22,0.444444,2
23,0.444444,2
23,0.111111,2
23,0.222222,2
24,0.111111,2
24,0.111111,2
24,0.111111,2
24,0.666667,2
24,0.444444,2
24,0.111111,2
24,0.111111,2
24,0.222222,2
24,0.333333,2
24,0.222222,2
24,0.111111,2
24,0.222222,2
25,0.222222,2
25,0.666667,2
26,0,2
26,0,2
26,0.111111,2
26,0,2
26,0.111111,2
26,0.333333,2
26,0.222222,2
25,0,2
25,0,2
25,0.111111,2
24,0.222222,2
24,0.333333,2
24,0.333333,2
24,0.222222,2
24,0,2
23,0.222222,2
23,0,2
23,0.222222,2
23,0.333333,2
22,0.222222,2
22,0.333333,2
21,0.333333,2
20,0.333333,2
20,0.333333,2
19,0.333333,2
22,0.666667,6
22,0.555556,6
21,0.222222,6
20,0.222222,6
20,0,6
19,0.111111,6
20,0.222222,6
20,0.111111,2
20,0.333333,2
20,0.333333,2
21,0.111111,2
21,0,2
21,0,2
21,0,2
21,0.222222,2
21,0.111111,2
20,0.111111,2
20,0.333333,2
20,0.333333,2
20,0,2
20,0.222222,2
20,0.444444,2
20,0.222222,2
20,0.333333,2
20,0.333333,2
20,0.333333,2
20,0.222222,2
20,0.222222,2
20,0.111111,2
20,0.444444,2
20,0.333333,2
21,0.111111,2
21,0.111111,2
21,0,2
21,0,2
22,0.333333,2
22,0.222222,2
23,0,2
23,0.222222,2
23,0,2
24,0.222222,2
24,0,2
24,0.222222,2
24,0,2
24,0,2
24,0.222222,2
24,0.111111,2
24,0,2
24,0.222222,2
24,0.222222,2
24,0.222222,2
24,0.222222,2
25,0.222222,2
25,0.111111,2
25,0.222222,2
26,0.222222,2
26,0,2
26,0,2
26,0,2
26,0,2
26,0.222222,2
26,0.111111,2
26,0.111111,2
26,0.111111,2
25,0.222222,2
25,0.333333,2
25,0.222222,2
25,0,2
25,0.222222,2
25,0.222222,2
24,0.333333,2
24,0.444444,2
24,0.222222,2
24,0.111111,2
23,0.111111,2
23,0.111111,2
22,0.222222,2
22,0.333333,2
21,0.444444,2
21,0.444444,2
20,0.333333,2
22,0.666667,6
22,0.222222,6
21,0.333333,6
20,0.222222,6
20,0.111111,6
20,0.111111,6
20,0.222222,6
20,0.222222,6
20,0.333333,6
20,0.444444,2
20,0.222222,2
20,0,2
21,0,2
21,0,2
21,0.111111,2
21,0.111111,2
21,0.111111,2
21,0,2
