@RELATION grayscale
@ATTRIBUTE o1	REAL
@ATTRIBUTE o 	{1,2,3,4,5,6}
@DATA
22,2
23,2
22,2
21,2
21,2
20,2
19,2
19,2
19,2
22,2
20,2
19,2
20,2
21,2
22,2
21,2
23,2
22,2
22,2
19,2
20,2
18,2
17,2
16,2
17,2
20,2
18,2
19,2
22,2
22,2
19,2
20,2
19,2
19,2
22,2
25,2
27,2
25,2
23,2
21,2
21,2
23,2
24,2
23,2
23,2
23,2
23,2
25,2
24,2
23,2
20,2
22,2
23,2
23,2
24,2
24,2
23,2
24,2
23,2
23,2
23,2
25,2
24,2
22,2
19,2
20,2
19,2
18,2
19,2
19,2
18,2
17,2
12,2
12,2
20,2
21,2
21,2
20,2
21,2
20,2
19,2
21,2
20,2
20,2
20,2
19,2
21,2
21,2
21,2
21,2
21,2
21,2
23,2
23,2
20,2
19,2
17,2
17,2
20,2
17,2
22,2
20,2
21,2
21,2
22,2
20,2
21,2
21,2
25,2
25,2
25,2
26,2
23,2
23,2
23,2
21,2
23,2
24,2
23,2
25,2
23,2
23,2
24,2
24,2
24,2
24,2
24,2
23,2
24,2
24,2
23,2
22,2
22,2
22,2
22,2
23,2
24,2
22,2
21,2
18,2
18,2
18,2
18,2
20,2
19,2
17,2
13,2
11,2
18,2
17,2
21,2
18,2
21,2
21,2
20,2
22,2
19,2
19,2
21,2
21,2
22,2
23,2
20,2
20,2
20,2
19,2
20,2
19,2
19,2
18,2
20,2
14,2
17,2
16,2
21,2
20,2
23,2
25,2
21,2
22,2
22,2
21,2
23,2
22,2
22,2
25,2
25,2
25,2
24,2
23,2
24,2
24,2
26,2
26,2
24,2
24,2
25,2
26,2
26,2
26,2
26,2
26,2
24,2
23,2
24,2
23,2
23,2
22,2
22,2
22,2
24,2
22,2
23,2
19,2
19,2
19,2
18,2
20,2
19,2
19,2
16,2
13,2
21,2
17,2
17,2
24,2
24,2
21,2
22,2
23,2
21,2
22,2
22,2
22,2
21,2
22,2
18,2
17,2
18,2
16,2
18,2
19,2
21,2
20,2
19,2
17,2
19,2
20,2
20,2
20,2
24,2
27,2
24,2
25,2
23,2
21,2
23,2
22,2
22,2
22,2
