@RELATION histogram
@ATTRIBUTE o1	REAL
@ATTRIBUTE o2	REAL
@ATTRIBUTE o 	{1,2,3,4,5,6}
@DATA
187,18.333333,2
187,18.222222,2
186,18.222222,2
187,18.444444,2
187,18.444444,2
188,18.666667,2
189,18.888889,2
188,18.777778,2
187,18.666667,2
186,18.222222,2
186,18.444444,2
186,18.555556,2
187,18.555556,2
186,18.333333,2
186,18.222222,2
184,18.111111,2
183,17.777778,2
181,17.666667,2
178,17.333333,2
175,17.333333,2
174,17.111111,2
172,17.111111,2
172,17.222222,2
172,17.333333,2
174,17.444444,2
178,17.555556,2
180,18,2
182,18.111111,2
185,18.111111,2
185,18.111111,2
187,18.666667,2
188,18.666667,2
190,19,2
191,19.111111,2
190,18.666667,2
193,18.666667,2
193,18.444444,2
195,18.888889,2
199,19.555556,2
200,19.888889,2
201,20,2
203,20,2
204,20,2
206,20.333333,2
208,20.555556,2
210,20.777778,2
211,20.888889,2
213,20.888889,2
215,21.222222,2
216,21.444444,2
216,21.777778,2
216,21.555556,2
216,21.444444,2
215,21.333333,2
215,21.222222,2
215,21.222222,2
213,21.111111,2
210,20.666667,2
207,20.444444,2
205,20.222222,2
202,19.888889,2
198,19.222222,2
193,18.777778,2
187,18.333333,2
182,18.111111,2
178,17.555556,2
173,17.111111,2
167,16.555556,2
162,15.888889,2
156,15.222222,2
154,15.111111,2
152,15,2
151,15.444444,2
152,15.555556,2
189,18.777778,2
188,18.555556,2
188,18.555556,2
189,18.777778,2
188,18.555556,2
189,18.777778,2
189,18.888889,2
189,18.666667,2
187,18.555556,2
187,18.555556,2
187,18.555556,2
186,18.555556,2
185,18.222222,2
184,18.111111,2
183,18,2
182,17.888889,2
180,17.666667,2
178,17.444444,2
176,17,2
172,16.555556,2
172,16.888889,2
172,17,2
173,17.333333,2
173,17.333333,2
176,17.333333,2
180,18.111111,2
183,17.888889,2
187,18.555556,2
191,18.888889,2
191,18.888889,2
193,19,2
195,19.444444,2
197,19.555556,2
198,19.666667,2
197,19.111111,2
199,19.333333,2
200,19.444444,2
201,19.444444,2
204,20.111111,2
204,20.111111,2
205,20.222222,2
206,20.555556,2
207,20.444444,2
208,20.444444,2
209,20.666667,2
211,20.666667,2
212,21,2
214,21.222222,2
216,21.333333,2
218,21.555556,2
219,21.666667,2
220,21.777778,2
220,21.777778,2
219,21.777778,2
219,21.666667,2
219,21.666667,2
216,21.444444,2
214,21.333333,2
211,21,2
208,20.666667,2
205,20.333333,2
201,19.777778,2
196,19.111111,2
191,18.777778,2
186,18.333333,2
183,18.333333,2
178,17.777778,2
173,17.222222,2
168,16.666667,2
161,15.666667,2
158,15.444444,2
156,15.444444,2
154,15.666667,2
154,15.888889,2
190,19.111111,2
188,19,2
189,18.666667,2
190,19.111111,2
189,18.666667,2
189,18.666667,2
189,18.777778,2
188,18.444444,2
187,18.666667,2
187,18.666667,2
187,18.444444,2
186,18.333333,2
185,18.111111,2
185,18,2
184,18.222222,2
182,18,2
181,17.888889,2
179,17.777778,2
176,17.333333,2
174,17.222222,2
173,17.111111,2
173,17.222222,2
174,17.111111,2
174,17.777778,2
177,17.777778,2
181,18.333333,2
185,18.222222,2
189,18.777778,2
194,19,2
195,18.888889,2
198,19.666667,2
201,19.888889,2
204,20.222222,2
205,20.444444,2
206,20.333333,2
207,20.555556,2
208,20.666667,2
208,20.333333,2
210,20.555556,2
210,20.555556,2
209,20.555556,2
210,20.777778,2
210,20.666667,2
210,20.666667,2
212,20.666667,2
213,20.777778,2
214,21.111111,2
217,21.444444,2
220,21.666667,2
222,21.777778,2
223,21.888889,2
224,22,2
223,21.888889,2
222,21.777778,2
222,22,2
221,22,2
218,21.555556,2
216,21.444444,2
214,21.222222,2
212,21.111111,2
209,20.777778,2
205,20.333333,2
201,19.666667,2
197,19.444444,2
193,18.888889,2
190,19,2
